complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
7254	ING5 complex (ING5, JADE2, KAT7, MEAF6)	Human	16387653	HeLa S3 cells	MI:0069:mass spectrometry studies of complexes	4	Q8WYH8;Q9NQC1;O95251;Q9HAF1	ING5;JADE2;KAT7;MEAF6	13	13	0	13	GO:0000278;GO:0006915;GO:0051726	mitotic cell cycle;apoptotic process;regulation of cell cycle	biological_process;biological_process;biological_process	Members of the ING family of tumor suppressors regulatecell cycle progression, apoptosis, and DNA repair. HBO1-ING5 association is independent of MOZ/MORF and is responsible for the H4-specific HAT activity in purified ING5.	
7255	ING5 complex (ING5, JADE3, KAT7, MEAF6)	Human	16387653	HeLa S3 cells	MI:0069:mass spectrometry studies of complexes	4	Q8WYH8;Q92613;O95251;Q9HAF1	ING5;JADE3;KAT7;MEAF6	13	13	0	13	GO:0000278;GO:0006915;GO:0051726	mitotic cell cycle;apoptotic process;regulation of cell cycle	biological_process;biological_process;biological_process	Members of the ING family of tumor suppressors regulatecell cycle progression, apoptosis, and DNA repair. HBO1-ING5 association is independent of MOZ/MORF and is responsible for the H4-specific HAT activity in purified ING5.	
7259	HCFC1-THAP11-ZNF143 complex	Human	26416877	SW620 colon cancer cell line	MI:0402:chromatin immunoprecipitation assay	3	P51610;Q96EK4;P52747	HCFC1;THAP11;ZNF143	21	21	7	14	GO:0003677;GO:0006355	DNA binding;regulation of DNA-templated transcription	molecular_function;biological_process		
7271	ARNTL-NPAS2 complex	Human	9576906	brain	MI:0018:two hybrid;MI:0413:electrophoretic mobility shift assay	2	O00327;Q99743	BMAL1;NPAS2	10	10	0	10	GO:0009299	mRNA transcription	biological_process		
7272	Core clock complex	Human	9576906	brain	MI:0018:two hybrid;MI:0413:electrophoretic mobility shift assay	2	O00327;O15516	BMAL1;CLOCK	9	9	1	8	GO:0009299	mRNA transcription	biological_process		
7273	ARNTL-HIF1A complex	Human	9576906	brain	MI:0018:two hybrid;MI:0413:electrophoretic mobility shift assay	2	O00327;Q16665	BMAL1;HIF1A	43	43	15	28	GO:0003677	DNA binding	molecular_function		
7274	ARNTL-EPAS1 complex	Human	9576906	brain	MI:0018:two hybrid;MI:0413:electrophoretic mobility shift assay	2	O00327;Q99814	BMAL1;EPAS1	8	8	0	8	GO:0003677	DNA binding	molecular_function		
7283	ETS1-PRX1 complex	Human	29275566	Human oral precancerous lesion dysplastic oral keratinocyte (DOK) cells	MI:0019:coimmunoprecipitation	2	P14921;P54821	ETS1;PRRX1	17	17	1	16	GO:0006355;GO:0035094	regulation of DNA-templated transcription;response to nicotine	biological_process;biological_process	In oral precancerous lesion cells, Ets1 directly regulates Prx1 expression and nicotine might promote the development of oral precancerous lesion by magnifying the positive feedback signal pathway between Ets1 and Prx1 (PMID:29275566)	OMIM:188890 Tobacco addiction (PMID:29275566)
7304	HIC1-PCL3L-PCR2 complex	Human	22315224	HEK293T cells	MI:0019:coimmunoprecipitation	5	O75530;Q15910;Q14526;Q5T6S3;Q15022	EED;EZH2;HIC1;PHF19;SUZ12	46	46	10	36	GO:0042054;GO:0045892	histone methyltransferase activity;negative regulation of DNA-templated transcription	molecular_function;biological_process		
7316	NFKB1-STAT3 complex	Human	12057007	Mesangial cells	MI:0019:coimmunoprecipitation	2	P19838;P40763	NFKB1;STAT3	60	60	18	42	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	molecular_function		
7317	RELA-STAT3 complex	Human	12057007	Mesangial cells	MI:0019:coimmunoprecipitation	2	Q04206;P40763	RELA;STAT3	88	88	22	66	GO:0001228;GO:0060300	DNA-binding transcription activator activity, RNA polymerase II-specific;regulation of cytokine activity	molecular_function;biological_process	STAT3, via direct interactions with NF-kappaB p65, serves as a dominant-negative inhibitor of NF-kappaB activity to suppress indirectly cytokine induction of the iNOS promoter in mesangial cells(PMID:12057007)	
7354	ASXL1-HCFC1-OGT complex	Human	29556021	HEK293T cell	MI:0019:coimmunoprecipitation	3	Q8IXJ9;P51610;O15294	ASXL1;HCFC1;OGT	34	34	13	21	GO:0045893;GO:0140938	positive regulation of DNA-templated transcription;histone H3 methyltransferase activity	biological_process;molecular_function		
7363	EYA1-SIX1 complex	Human	11734542	HEK293 cells	MI:0019:coimmunoprecipitation	2	Q99502;Q15475	EYA1;SIX1	2	2	1	1	GO:0045664;GO:0072006	regulation of neuron differentiation;nephron development	biological_process;biological_process	Eya-Six may form a complex to regulate nephron progenitor cell development before metanephric specification and are critical mesenchymal factors for inducing nephric duct development (PMID:25903664)	OMIM:602588 Branchiootic syndrome 1 (PMID:11734542)
7364	EYA1-SIX2 complex	Human	11734542	HEK293	MI:0019:coimmunoprecipitation	2	Q99502;Q9NPC8	EYA1;SIX2	1	1	0	1	GO:0045664;GO:0072006	regulation of neuron differentiation;nephron development	biological_process;biological_process	Eya-Six may form a complex to regulate nephron progenitor cell development before metanephric specification and are critical mesenchymal factors for inducing nephric duct development (PMID:25903664)	
7367	ASH2L-KDM6B-KDM6B-WDR5 complex	Human	17825402	HEK293 cells	MI:0019:coimmunoprecipitation	4	Q9UBL3;O15054;Q15291;P61964	ASH2L;KDM6B;RBBP5;WDR5	42	42	6	36					
7368	Ubiquitin E3 ligase (CUL3, KEAP1, RBX1)	Human	15983046		MI:0019:coimmunoprecipitation	3	Q13618;Q14145;P62877	CUL3;KEAP1;RBX1	21	21	7	14	GO:0031463;GO:0043161	Cul3-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process	cellular_component;biological_process		
7372	BRD7-SWI–SNF complex	Human	21447565	HeLa S3/F1-BAF45	MI:0096:pull down	11	O96019;O14497;Q9NPI1;Q8WUB8;O14744;P51531;P51532;Q92922;Q8TAQ2;Q96GM5;Q969G3	ACTL6A;ARID1A;BRD7;PHF10;PRMT5;SMARCA2;SMARCA4;SMARCC1;SMARCC2;SMARCD1;SMARCE1	105	105	31	74	GO:0045892	negative regulation of DNA-templated transcription	biological_process		
7373	BRD7-SWI–SNF-SUZ12 complex	Human	21447565	HeLa S3 RIPA cells	MI:0019:coimmunoprecipitation	5	Q9NPI1;Q9NVM4;P51531;P51532;Q15022	BRD7;PRMT7;SMARCA2;SMARCA4;SUZ12	75	75	24	51					
7374	BRD7-BAF60A-MEP50 complex	Human	21447565		MI:0096:pull down	3	Q9NPI1;Q96GM5;Q9BQA1	BRD7;SMARCD1;WDR77	34	34	10	24					
7375	BRD7-EZH2-SUZ12 complex	Human	21447565		MI:0096:pull down	3	Q9NPI1;Q15910;Q15022	BRD7;EZH2;SUZ12	48	48	9	39					
7403	SREBP-1a-PKM2 complex	Human	29514980	Hepatocellular carcinoma cells, HEK293T cells	MI:0019:coimmunoprecipitation;MI:0096:pull down	2	P14618;P36956	PKM;SREBF1	21	21	9	12	GO:0008283;GO:0046890	cell population proliferation;regulation of lipid biosynthetic process	biological_process;biological_process	In mammalian cells, there are three SREBP isoforms (SREBP-1a, -1c, and -2) encoded by two different genes, Srebf1 and Srebf2 . Two distinct promoters generate SREBP-1a and SREBP-1c isoforms from the Srebf1 gene . Srebf1a is expressed at higher levels in cancer cells as compared with normal tissues, whereas Srebf1c is the predominant product of Srebf1 in normal tissues. PKM2 directly interacts with the nuclear form of SREBP-1a, but not with SREBP-1c, and SREBP-2  isoforms in hepatocellular carcinoma cells (PMID:29514980).	OMIM:114550 Hepatocellular carcinoma (PMID:29514980)
7413	CENPA-histone H4-HJURP complex	Human	21478274		MI:0071:molecular sieving;MI:0114:x-ray crystallography	3	P49450;P62805;Q8NCD3	CENPA;H4C1;HJURP	70	70	46	24	GO:0006325;GO:0006334	chromatin organization;nucleosome assembly	biological_process;biological_process	HJURP binds to the CENPA-histone H4 heterodimer and prevents tetramer formation of CENPA and histone H4.	
7480	HDAC3-H1.3-SMRT-N-Cor complex	Human	26663086	HeLa S3 cells	MI:0096:pull down	4	P16402;O15379;O75376;Q9Y618	H1-3;HDAC3;NCOR1;NCOR2	109	109	24	85				HDAC3-H1.3 complex containing silencing mediator of retinoic acid and thyroid hormone receptor (SMRT) and nuclear receptor corepressor 1 (N-CoR) was accumulated in synchronized HeLa cells in late G2 phase and mitosis (PMID:26663086).	
7540	KMT2E-OGT-USP7 complex	Human	26678539	HEK293T cells	MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving;MI:0416:fluorescence microscopy	3	Q8IZD2;O15294;Q93009	KMT2E;OGT;USP7	51	51	16	35	GO:0005634;GO:0006355;GO:0007049;GO:0030097	nucleus;regulation of DNA-templated transcription;cell cycle;hemopoiesis	cellular_component;biological_process;biological_process;biological_process	The MLL5 protein stability is cooperatively regulated by O-GlcNAc transferase (OGT) and ubiquitin-specific protease 7 (USP7).	MLL5 protein levels are correlated with expression of OGT and USP7 in primary cervical adenocarcinomas.
7586	ESR1-FOXO1 complex	Human	11353774	HepG2 cells; MCF-7 cells	MI:0018:two hybrid;MI:0059:gst pull down	2	P03372;Q12778	ESR1;FOXO1	115	115	34	81	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Formation of the ESR1-FOXO1 complex is enhanced in the presence of estradiol (E2) and tamoxifen. FOXO1 antagonizes the ESR1 coactivator activity of NCOA3 (AIB1).	
7613	MN-hexamer complex	Human	23798382	HEK293T cells	MI:0007:anti tag coimmunoprecipitation	3	P61371;Q9UBR4;P40763	ISL1;LHX3;STAT3	39	39	14	25	GO:0021522;GO:0045944	spinal cord motor neuron differentiation;positive regulation of transcription by RNA polymerase II	biological_process;biological_process	STAT3 associates with the MN–hexamer and enhances the MN–hexamer–directed transcription.	
7705	HOXD4-MEIS1-PBX1 complex	Human	10523646	HEK293 cells	MI:0404:comigration in non denaturing gel electrophoresis	3	P09016;O00470;P40424	HOXD4;MEIS1;PBX1	18	18	5	13	GO:0006355	regulation of DNA-templated transcription	biological_process	MEIS1 and PBX1 are non-DNA-binding partners in the protein complex. DNA binding is required for the formation of the complex.	
7706	HOXD9-MEIS1-PBX1 complex	Human	10523646	HEK293 cells	MI:0404:comigration in non denaturing gel electrophoresis	3	P28356;O00470;P40424	HOXD9;MEIS1;PBX1	18	18	6	12	GO:0006355	regulation of DNA-templated transcription	biological_process	MEIS1 and PBX1 are non-DNA-binding partners in the protein complex. DNA binding is required for the formation of the complex.	
7707	HOXD10-MEIS1-PBX1 complex	Human	10523646	HEK293 cells	MI:0404:comigration in non denaturing gel electrophoresis	3	P28358;O00470;P40424	HOXD10;MEIS1;PBX1	20	20	6	14	GO:0006355	regulation of DNA-templated transcription	biological_process	MEIS1 and PBX1 are non-DNA-binding partners in the protein complex. DNA binding is required for the formation of the complex.	
7708	PBX1-PKNOX1 complex	Human	9482740	HeLa cells	MI:0404:comigration in non denaturing gel electrophoresis	2	P40424;P55347	PBX1;PKNOX1	20	20	7	13	GO:0005634;GO:0006351	nucleus;DNA-templated transcription	cellular_component;biological_process	Pbx1-Pknox1 complex is present during mouse embryogenesis.	
7720	EYA1-PAX2-TLX1 complex	Human	17785448	HEK-293 cells	MI:0019:coimmunoprecipitation	3	Q99502;Q02962;P31314	EYA1;PAX2;TLX1	8	8	2	6	GO:0001822	kidney development	biological_process		
7780	ESR1-EP300-NCOA2 complex	Human	11689448		MI:0096:pull down	3	Q09472;P03372;Q15596	EP300;ESR1;NCOA2	233	233	88	145	GO:0004402;GO:0005634;GO:0006352;GO:0032355	histone acetyltransferase activity;nucleus;DNA-templated transcription initiation;response to estradiol	molecular_function;cellular_component;biological_process;biological_process	Efficient acetylation of the chromatin template by EP300 required estrogen receptor alpha (ESR1), estradiol (E2) and NCOA2 (SRC2).	
7808	METTL3-METTL14-WTAP complex	Human	24407421	HEK293 cells	MI:0007:anti tag coimmunoprecipitation	3	Q9HCE5;Q86U44;Q15007	METTL14;METTL3;WTAP	4	4	2	2	GO:0005634;GO:0044771;GO:0060612	nucleus;meiotic cell cycle phase transition;adipose tissue development	cellular_component;biological_process;biological_process	RNA N6-adenosine methyltransferase complex consisting of Wilms’ tumor 1-associating protein (WTAP), methyltransferase like 3 (METTL3), and METTL14 positively controls adipogenesis by promoting cell cycle transition in mitotic clonal expansion during adipogenesis.	Wtap heterozygous knockout mice are protected from diet-induced obesity with smaller size and number of adipocytes, leading to improved insulin sensitivity.
7809	m(6)A methyltransferase complex	Human	29507755	HeLa cells	MI:0007:anti tag coimmunoprecipitation	6	Q75N03;Q9HCE5;Q86U44;Q69YN4;Q15007;Q5T200	CBLL1;METTL14;METTL3;VIRMA;WTAP;ZC3H13	7	7	4	3	GO:0036396	RNA N6-methyladenosine methyltransferase complex	cellular_component	Mammalian mRNA methylation N6-methyladenosine (m6A) sculpts the transcriptome in order to affect mRNA processing and metabolism, and represents a mechanism to regulate gene expression analogous to epigenetic DNA and histone methylations.	
7871	NFE4-TFCP2 complex	Human	7828600	K562 cells	MI:0007:anti tag coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay	2	Q86UQ8;Q12800	NFE4;TFCP2	8	8	1	7	GO:0005634;GO:0006355	nucleus;regulation of DNA-templated transcription	cellular_component;biological_process		
7894	MECOM-CEBPB complex	Human	22473998	HEK293 cells	MI:0019:coimmunoprecipitation	2	P17676;Q03112	CEBPB;MECOM	43	43	6	37	GO:0005634;GO:0006355;GO:0045444	nucleus;regulation of DNA-templated transcription;fat cell differentiation	cellular_component;biological_process;biological_process	MECOM (Evi1) expression converts nonadipogenic cells into adipocytes via an increase in the predifferentiation levels of PPARgamma2, the adipose-selective isoform of PPARgamma.	
7895	MECOM-SUV39H1 complex	Human	18619962	phoenix E cells	MI:0007:anti tag coimmunoprecipitation;MI:0416:fluorescence microscopy	2	Q03112;O43463	MECOM;SUV39H1	37	37	8	29	GO:0045892;GO:0046974	negative regulation of DNA-templated transcription;histone H3K9 methyltransferase activity	biological_process;molecular_function	SUV39H1, through its SET domain, cooperates with MECOM in vivo and enhances the transcriptional repression activity of MECOM in a dose dependent manner.	
7896	EHMT2-MECOM complex	Human	18619962	phoenix E cells	MI:0007:anti tag coimmunoprecipitation	2	Q96KQ7;Q03112	EHMT2;MECOM	24	24	6	18	GO:0046974	histone H3K9 methyltransferase activity	molecular_function		
7934	GTF2I-PARP1-SFPQ complex	Human	18445785	SH-SY5Y cells	MI:0413:electrophoretic mobility shift assay	3	P78347;P09874;P23246	GTF2I;PARP1;SFPQ	90	90	25	65	GO:0001764;GO:0003677;GO:0005634;GO:0006355;GO:0006357;GO:0009790	neuron migration;DNA binding;nucleus;regulation of DNA-templated transcription;regulation of transcription by RNA polymerase II;embryo development	biological_process;molecular_function;cellular_component;biological_process;biological_process;biological_process		The GTF2I-PARP1-SFPQ complex binds to the dyslexia-related SNP rs3743205 in DYX1C1 gene implicated in neuronal migration and dyslexia and regulates the DYX1C1 gene expression.
7946	SIX3-LSD1-NuRD(MTA3) complex	Human	29463994	HeLa, MCF-7, and MDA-MB-231 cells	MI:0019:coimmunoprecipitation;MI:0091:chromatography technology;MI:0096:pull down	9	Q13547;Q92769;O60341;Q9UBB5;O95983;Q9BTC8;Q09028;Q16576;O95343	HDAC1;HDAC2;KDM1A;MBD2;MBD3;MTA3;RBBP4;RBBP7;SIX3	229	229	90	139	GO:0001837;GO:0005634;GO:0006355;GO:0007224;GO:0010468;GO:0016055	epithelial to mesenchymal transition;nucleus;regulation of DNA-templated transcription;smoothened signaling pathway;regulation of gene expression;Wnt signaling pathway	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process		The SIX3-LSD1-NuRD(MTA3) complex inhibits carcinogenesis in breast cancer cells and suppresses metastasis in breast cancer. High SIX3 expression is correlated with improved prognosis. (PMID: 29463994)
7952	IRF8-SPI1-STAT1 complex	Human	17386941	THP-1 cells	MI:0402:chromatin immunoprecipitation assay;MI:0413:electrophoretic mobility shift assay	3	Q02556;P17947;P42224	IRF8;SPI1;STAT1	46	46	13	33	GO:0005634;GO:0010628	nucleus;positive regulation of gene expression	cellular_component;biological_process	Phosphorylation of IRF8 in a pre-associated complex with SPI1 (PU.1) and non-phosphorylated STAT1 is critical for lipopolysaccharide induction of the IL1B gene.	
7953	IRF1-STAT1 complex	Human	10921891	U3A cells	MI:0096:pull down	2	P10914;P42224	IRF1;STAT1	25	25	3	22	GO:0045893	positive regulation of DNA-templated transcription	biological_process	The complex of unphosphorylated STAT1 and IRF1 supports transcription of the LMP2 gene. In the absence of IFN stimulation, Stat1 binds to the consensus sequence 2/gamma-interferon-activated sequence (ICS-2/GAS) element of the LMP2 gene but not to the IRF1 GAS.	
7955	CREBBP-EP300-HDAC1-SP1-SP3 complex	Human	16734381	SAOS-2 cells	MI:0019:coimmunoprecipitation	5	Q92793;Q09472;Q13547;P08047;Q02447	CREBBP;EP300;HDAC1;SP1;SP3	346	346	143	203	GO:0006351	DNA-templated transcription	biological_process		
7976	SIX3-LSD1-MTA3 complex	Human	29463994	MCF-7 cell	MI:0019:coimmunoprecipitation;MI:0096:pull down	3	O60341;Q9BTC8;O95343	KDM1A;MTA3;SIX3	53	53	20	33	GO:0001837;GO:0005634;GO:0006355;GO:0007224;GO:0010468;GO:0016055	epithelial to mesenchymal transition;nucleus;regulation of DNA-templated transcription;smoothened signaling pathway;regulation of gene expression;Wnt signaling pathway	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process	The transcriptional regulators SIX3, LSD1, and MTA3 cooperate to operate a transcriptional repression pathway that maintains mammary epithelial hemostasis by controlling the hierarchical molecular network of epithelial-to-mesenchymal transition. (PMID: 29463994)	
7990	NPM1-PA2G4 complex	Human	17951246	HEK293 cells	MI:0007:anti tag coimmunoprecipitation	2	P06748;Q9UQ80	NPM1;PA2G4	34	34	18	16	GO:0042127;GO:0042981	regulation of cell population proliferation;regulation of apoptotic process	biological_process;biological_process	PA2G4 (Ebp1) forms a complex with NPM1 (B23), and this complex plays a critical role in cell proliferation and survival. p42 specifically associates with B23 upon epidermal growth factor stimulation, while p48 constantly binds B23.	
7995	E2F1-HDAC2-PA2G4-RB1 complex	Human	15073182	HeLa cells	MI:0007:anti tag coimmunoprecipitation;MI:0225:chromatin immunoprecipitation array;MI:0413:electrophoretic mobility shift assay	4	Q01094;Q92769;Q9UQ80;P06400	E2F1;HDAC2;PA2G4;RB1	171	171	55	116	GO:0005634;GO:0045892	nucleus;negative regulation of DNA-templated transcription	cellular_component;biological_process	The E2F1-HDAC2-PA2G4-RB1 complex binds to the E2F promoter elements as demonstrated by EMSA, DNA affinity precipitation, and chromatin immunoprecipitation (ChIP) assays. HRG enhanced the ability of PA2G4 to bind to E2F consensus elements and to repress transcription.	
8006	CTBP1-EP300-FOXO3 complex	Human	31074088	U2OS cells	MI:0019:coimmunoprecipitation;MI:0397:two hybrid array	3	Q13363;Q09472;O43524	CTBP1;EP300;FOXO3	174	174	71	103	GO:0006355;GO:0042981	regulation of DNA-templated transcription;regulation of apoptotic process	biological_process;biological_process	The CTBP1-EP300-FOXO3 complex specifically binds to the promoters of Bax and Bim and negatively regulates their expression in osteosarcoma cells.	
8012	CTBP2-EP300-RUNX2 complex	Human	30585266	HOB-1 primary osteoblast cells	MI:0007:anti tag coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	3	P56545;Q09472;Q13950	CTBP2;EP300;RUNX2	162	162	69	93	GO:0006355;GO:0030278	regulation of DNA-templated transcription;regulation of ossification	biological_process;biological_process	NADH levels determine the expression of bone formation and development of related genes through affecting the dissociation or binding of CTBP2 to the EP300-RUNX2 complex.	
8013	EP300-RUNX2 complex	Human	30585266	HOB-1 cells.	MI:0007:anti tag coimmunoprecipitation	2	Q09472;Q13950	EP300;RUNX2	143	143	58	85	GO:0006355;GO:0030278	regulation of DNA-templated transcription;regulation of ossification	biological_process;biological_process	NADH levels determine the expression of bone formation and development of related genes through affecting the dissociation or binding of CTBP2 to the EP300-RUNX2 complex.	
8022	SRCAP-containing complex	Human	16634648	HeLa S3 cells	MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving;MI:0226:ion exchange chromatography	7	O96019;Q9GZN1;Q9NPF5;Q9Y265;Q9Y230;Q6ZRS2;O95619	ACTL6A;ACTR6;DMAP1;RUVBL1;RUVBL2;SRCAP;YEATS4	57	57	12	45	GO:0005634;GO:0006338	nucleus;chromatin remodeling	cellular_component;biological_process	The SRCAP complex facilitates exchange of H2A.Z/H2B dimers into nucleosomes. (PMID: 16634648)	
8067	PAGR1-PAXIP1 complex	Human	19124460	293T cells	MI:0007:anti tag coimmunoprecipitation;MI:0416:fluorescence microscopy	2	Q9BTK6;Q6ZW49	PAGR1;PAXIP1	9	9	0	9	GO:0006281;GO:0010212	DNA repair;response to ionizing radiation	biological_process;biological_process	The PAGR1-PAXIP1 complex is required for cell survival after ionizing radiation.	
8121	PCGF1-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q9BSM1;Q06587	PCGF1;RING1	22	22	2	20	GO:0016567	protein ubiquitination	biological_process		
8122	PCGF1-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q9BSM1;Q99496	PCGF1;RNF2	31	31	5	26	GO:0016567	protein ubiquitination	biological_process		
8123	PCGF2-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	P35227;Q06587	PCGF2;RING1	23	23	3	20	GO:0016567	protein ubiquitination	biological_process		
8124	PCGF2-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	P35227;Q99496	PCGF2;RNF2	29	29	5	24	GO:0016567	protein ubiquitination	biological_process		
8125	PCGF3-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q3KNV8;Q06587	PCGF3;RING1	24	24	4	20	GO:0016567	protein ubiquitination	biological_process		
8126	PCGF3-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q3KNV8;Q99496	PCGF3;RNF2	30	30	6	24	GO:0016567	protein ubiquitination	biological_process		
8127	PCGF4-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	P35226;Q06587	BMI1;RING1	27	27	4	23	GO:0016567	protein ubiquitination	biological_process		
8128	PCGF4-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	P35226;Q99496	BMI1;RNF2	32	32	5	27	GO:0016567	protein ubiquitination	biological_process		
8129	PCGF5-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q86SE9;Q06587	PCGF5;RING1	23	23	4	19	GO:0016567	protein ubiquitination	biological_process		
8130	PCGF5-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q86SE9;Q99496	PCGF5;RNF2	29	29	6	23	GO:0016567	protein ubiquitination	biological_process		
8131	PCGF6-RING1A complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q9BYE7;Q06587	PCGF6;RING1	26	26	3	23	GO:0016567	protein ubiquitination	biological_process		
8132	PCGF6-RING1B complex	Human	26151332		MI:0019:coimmunoprecipitation;MI:0091:chromatography technology	2	Q9BYE7;Q99496	PCGF6;RNF2	32	32	5	27	GO:0016567	protein ubiquitination	biological_process		
8162	DNMT1-associated protein complex	Human	21045206	HEK 293 cells	MI:0019:coimmunoprecipitation	6	P26358;Q13547;Q92993;P12004;Q96T88;Q93009	DNMT1;HDAC1;KAT5;PCNA;UHRF1;USP7	223	223	84	139	GO:0006511;GO:0009008	ubiquitin-dependent protein catabolic process;DNA-methyltransferase activity	biological_process;molecular_function	This complex regulates DNMT1 protein stability through control of its ubiquitination.	HAUSP knockdown rendered colon cancer cells more sensitive to killing by HDAC inhibitors both in tissue culture and in tumor xenograft models. (PMID: 21045206)
8168	STAT1-STAT3 complex	Human	21207025	SCCHN cells	MI:0019:coimmunoprecipitation	2	P42224;P40763	STAT1;STAT3	38	38	7	31	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	biological_process	STAT1-STAT3 heterodimers were detected at low levels in the SCCHN cells under basal conditions, and both IL-6 and IFN-gamma treatments increased complex formation.	
8218	HOXA9-MEIS1-PBX1 complex	Human	10082572	human U-937 and KG1 myeloid leukemia cells	MI:0007:anti tag coimmunoprecipitation;MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay;MI:0416:fluorescence microscopy	3	P31269;O00470;P40424	HOXA9;MEIS1;PBX1	20	20	5	15	GO:0003677;GO:0005634;GO:0005737;GO:0030218	DNA binding;nucleus;cytoplasm;erythrocyte differentiation	molecular_function;cellular_component;cellular_component;biological_process	MEIS1 is capable of forming a triple complex with HOXA9 and each of the three known PBX proteins in the absence of DNA (PMID:10082572).	Aberrant activation of the HOX, MEIS, and PBX homeodomain protein families is associated with leukemias, and retrovirally driven coexpression of HOXA9 and MEIS1 is sufficient to induce myeloid leukemia in mice (cited in PMID:10082572).
8220	HOXA9-MEIS1-PBX3 complex	Human	10082572	human U-937 and KG1 myeloid leukemia cells	MI:0007:anti tag coimmunoprecipitation;MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay;MI:0416:fluorescence microscopy	3	P31269;O00470;P40426	HOXA9;MEIS1;PBX3	8	8	1	7	GO:0003677;GO:0005634;GO:0030218	DNA binding;nucleus;erythrocyte differentiation	molecular_function;cellular_component;biological_process	MEIS1 is capable of forming a triple complex with HOXA9 and each of the three known PBX proteins in the absence of DNA (PMID:10082572).	Aberrant activation of the HOX, MEIS, and PBX homeodomain protein families is associated with leukemias, and retrovirally driven coexpression of HOXA9 and MEIS1 is sufficient to induce myeloid leukemia in mice (cited in PMID:10082572).
8308	PCGF5–RING1B–UBE2D3 complex	Human	26151332		MI:0114:x-ray crystallography	3	P35226;Q99496;P61077	BMI1;RNF2;UBE2D3	55	55	14	41					
8314	PPP4C-PPP4R2-PPP4R3B complex	Human	18614045	HeLa cell	MI:0019:coimmunoprecipitation	3	P60510;Q9NY27;Q5MIZ7	PPP4C;PPP4R2;PPP4R3B	8	8	0	8	GO:0006470;GO:0016791	protein dephosphorylation;phosphatase activity	biological_process;molecular_function	PPP4C-PPP4R2-PPP4R3B complex specifically dephosphorylates ATR-mediated gamma-H2AX generated during DNA replication.	
8315	PPP4C-PPP4R2-PPP4R3A complex	Human	18614045	HeLa cells	MI:0019:coimmunoprecipitation	3	P60510;Q9NY27;Q6IN85	PPP4C;PPP4R2;PPP4R3A	8	8	0	8	GO:0006470;GO:0016791	protein dephosphorylation;phosphatase activity	biological_process;molecular_function		
8326	CRX-NR2E3 complex	Human	15689355	HEK293 cells	MI:0019:coimmunoprecipitation	2	O43186;Q9Y5X4	CRX;NR2E3	10	10	5	5	GO:0006351;GO:0007601	DNA-templated transcription;visual perception	biological_process;biological_process		Mutations in Nr2e3 result in syndromes characterized by excess blue cones and loss of rods: enhanced S-cone syndrome (ESCS) (PMID: 15689355) .
