complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
860	DNMT1-EHMT2-PCNA complex	Human	17085482	HeLa cells, HEK293 cells	MI:0019:coimmunoprecipitation	3	P26358;Q96KQ7;P12004	DNMT1;EHMT2;PCNA	54	54	22	32	GO:0003886;GO:0005634;GO:0006260;GO:0009008;GO:0046974;GO:0051276	DNA (cytosine-5-)-methyltransferase activity;nucleus;DNA replication;DNA-methyltransferase activity;histone H3K9 methyltransferase activity;chromosome organization	molecular_function;cellular_component;biological_process;molecular_function;molecular_function;biological_process	DNMT1 and G9a are loaded onto the chromatin simultaneously in a ternary complex with loading factor PCNA during chromatin replication. Direct cooperation between DNMT1 and G9a provides a mechanism of coordinated DNA and H3K9 methylation during cell division (PMID: 17085482).	
862	DNMT1-EHMT2 complex	Human	17085482	HeLa cells, HEK293 cells	MI:0019:coimmunoprecipitation;MI:0096:pull down	2	P26358;Q96KQ7	DNMT1;EHMT2	34	34	8	26	GO:0000084;GO:0003886;GO:0005634;GO:0006260;GO:0009008;GO:0046974;GO:0051276	mitotic S phase;DNA (cytosine-5-)-methyltransferase activity;nucleus;DNA replication;DNA-methyltransferase activity;histone H3K9 methyltransferase activity;chromosome organization	biological_process;molecular_function;cellular_component;biological_process;molecular_function;molecular_function;biological_process	Direct cooperation between DNMT1 and G9a provides a mechanism of coordinated DNA and H3K9 methylation during cell division. The complex of DNMT1 and G9a led to enhanced DNA and histone methylation of in vitro assembled chromatin substrates (PMID: 17085482).	Zebularine is a DNMT1-specific mechanistic inhibitor (PMID: 17085482). The two DNMT inhibitors azacitidine (5-Aza) and decitabine are hypomethylating agents (HMAs) currently approved for clinical use (PMID: 29301553). They are the most commonly used nucleoside agents in cancer. After cellular uptake, the first limiting step is the ATP-dependent phosphorylation of nucleosides to form monophosphorylated nucleotides. These monophosphorylated nucleotides are incorporated into DNA in the place of cytosine. Then, DNMTs recognize the azacytosine-guanine dinucleotide and catalyze the methylation reaction by forming a covalent bond with the cytosine ring. The covalent complex at C6 cannot be resolved through b-elimination, because of the presence of a nitrogen atom at position 5. Covalently trapped DNMTs are degraded, resulting in the depletion of cellular DNMTs (PMID: 34452630).
871	BRAF35-BRCA2 complex	Human	11207365		MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving	7	P51587;Q13547;Q92769;Q9P0W2;O60341;Q96BD5;Q9UKL0	BRCA2;HDAC1;HDAC2;HMG20B;KDM1A;PHF21A;RCOR1	198	198	73	125	GO:0000278;GO:0003677;GO:0005634;GO:0006265;GO:0006281;GO:0006476;GO:0030182;GO:0045892;GO:0051276	mitotic cell cycle;DNA binding;nucleus;DNA topological change;DNA repair;protein deacetylation;neuron differentiation;negative regulation of DNA-templated transcription;chromosome organization	biological_process;molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process;biological_process	Antibody microinjection experiments suggest a role for BRCA2/BRAF35 complex in modulation of cell cycle progression.	BRCA2 confers susceptibility to in breast cancer.
886	MTA1 complex	Human	12920132		MI:0004:affinity chromatography technology;MI:0091:chromatography technology	6	Q13547;Q92769;O95983;Q13330;Q09028;Q16576	HDAC1;HDAC2;MBD3;MTA1;RBBP4;RBBP7	205	205	77	128	GO:0005634;GO:0006265;GO:0006476;GO:0009755;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;hormone-mediated signaling pathway;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		MTA1 is involved in metastasis or cancer formation.
888	MTA2 complex	Human	12920132		MI:0004:affinity chromatography technology;MI:0091:chromatography technology	8	Q14839;Q13547;Q92769;O95983;O94776;Q09028;Q16576;Q96ST3	CHD4;HDAC1;HDAC2;MBD3;MTA2;RBBP4;RBBP7;SIN3A	233	233	87	146	GO:0004407;GO:0005634;GO:0006265;GO:0032774;GO:0045892;GO:0051276	histone deacetylase activity;nucleus;DNA topological change;RNA biosynthetic process;negative regulation of DNA-templated transcription;chromosome organization	molecular_function;cellular_component;biological_process;biological_process;biological_process;biological_process	Since MTA2 is not involved in metastasis or cancer formation, the authors suggest a housekeeping role of the MTA2 complex.	
889	MTA1-HDAC core complex	Human	12920132		MI:0004:affinity chromatography technology;MI:0091:chromatography technology	5	Q13547;Q92769;Q13330;Q09028;Q16576	HDAC1;HDAC2;MTA1;RBBP4;RBBP7	204	204	76	128	GO:0005634;GO:0006265;GO:0006476;GO:0009755;GO:0045892;GO:0051276	nucleus;DNA topological change;protein deacetylation;hormone-mediated signaling pathway;negative regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process		MTA1 is involved in metastasis or cancer formation.
917	CERF complex (CECR2-containing remodeling factor complex)	Human	15640247		MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	2	Q9BXF3;P28370	CECR2;SMARCA1	7	7	0	7	GO:0005634;GO:0006265;GO:0022008;GO:0048699;GO:0051276	nucleus;DNA topological change;neurogenesis;generation of neurons;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process	CERF displays an ATP hydrolyzing activity that is stimulated by nucleosomes. CERF plays a critical role in neurolation.	
921	Remodeling and spacing factor (RSF) complex	Human	9836642	HeLa cells	MI:0091:chromatography technology	2	Q96T23;O60264	RSF1;SMARCA5	18	18	3	15	GO:0005634;GO:0006265;GO:0006352;GO:0009117;GO:0051276	nucleus;DNA topological change;DNA-templated transcription initiation;nucleotide metabolic process;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process	RSF facilitates transcription initiation by remodeling nucleosomes in the promoter region to allow the formation of preinitiation complexes.	
923	SNF2L-RSF1 complex	Human	15640247		MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	2	Q96T23;P28370	RSF1;SMARCA1	9	9	1	8	GO:0005634;GO:0006265;GO:0051276	nucleus;DNA topological change;chromosome organization	cellular_component;biological_process;biological_process		
925	SNF2H-BAZ1A complex	Human	10655480		MI:0091:chromatography technology	2	Q9NRL2;O60264	BAZ1A;SMARCA5	19	19	2	17	GO:0005634;GO:0006265;GO:0006355;GO:0051276	nucleus;DNA topological change;regulation of DNA-templated transcription;chromosome organization	cellular_component;biological_process;biological_process;biological_process	ATPase activity of WCRF complex is stimulated by nucleososmal DNA.	
